本科以上,本科以下,Sector,Total demands,Unlimited,month,total_monthes
2,62,Graduates,1317,57,11,3
0,61,Other,311,43,11,3
5,11,Computer software,235,9,12,4
4,149,Sales management,1528,146,12,4
4,77,market/marketing,757,66,12,4
7,393,Sales,5842,187,12,4
2,2,Computer hardware,18,3,12,4
0,11,Internet development and application,106,29,12,4
0,1,IT-Management,72,1,12,4
1,7,"IT-QM, technical support and more",81,5,12,4
2,1,Communications technology,26,2,12,4
4,1,Electronics/appliances/semiconductor/instrumentation,42,3,12,4
9,56,Finance/auditing/tax,168,27,12,4
13,39,Engineering/machinery/energy,198,10,12,4
7,29,HR,105,19,12,4
0,9,Senior management,23,4,12,4
0,37,Logistics/warehousing,256,43,12,4
0,14,Art/graphics/Animation design,82,25,12,4
0,0,Science & Technology,6,1,12,4
0,4,Legal profession/law,16,1,12,4
7,3,Education,89,4,12,4
0,9,Hospital/medical/care,71,2,12,4
4,50,Counsel/consulting,645,17,12,4
0,5,Transportation service,48,13,12,4
0,4,Translation,4,0,12,4
3,24,Construction/infrastructure/gardening,164,9,12,4
0,1,Banking,5,0,12,4
3,98,Office administration/logistics,454,76,12,4
1,26,Customer service and technical support,362,27,12,4
1,17,Securities/finance/investment,424,13,12,4
0,5,Insurance,140,2,12,4
0,7,Production/operation,219,6,12,4
2,18,QMS/safety/environmental protection,48,5,12,4
1,6,Technical work,591,55,12,4
0,0,Fashion/textile/furs,4,2,12,4
1,5,Procurement,11,1,12,4
1,4,Trade,9,1,12,4
4,4,Biology/chemicals/pharmaceuticals/medical equipment,42,4,12,4
0,4,Advertising,16,0,12,4
0,3,"Movies, TV and recreation",5,1,12,4
0,6,Literature/screenwriting/writing,25,4,12,4
0,15,Real property,695,30,12,4
0,6,Property management,74,7,12,4
0,31,Restaurants & recreation,781,79,12,4
0,1,Hotels/tourism,79,9,12,4
0,0,Beauty and personal care,8,2,12,4
0,10,General merchandise/chains/retail,182,8,12,4
0,1,Security/housekeeping/other,60,7,12,4
4,20,Graduates,512,30,12,4
0,48,Other,439,48,12,4
2,5,Computer software,35,4,1,5
2,29,Sales management,277,12,1,5
2,27,market/marketing,332,28,1,5
1,67,Sales,1015,48,1,5
0,0,Computer hardware,1,1,1,5
0,5,Internet development and application,59,9,1,5
0,4,"IT-QM, technical support and more",50,0,1,5
4,5,Electronics/appliances/semiconductor/instrumentation,19,0,1,5
6,20,Finance/auditing/tax,54,8,1,5
6,25,Engineering/machinery/energy,105,3,1,5
8,5,HR,18,0,1,5
0,2,Senior management,24,4,1,5
1,8,Logistics/warehousing,40,11,1,5
0,5,Art/graphics/Animation design,30,6,1,5
0,6,Legal profession/law,18,0,1,5
0,1,Hospital/medical/care,6,0,1,5
0,5,Counsel/consulting,95,10,1,5
0,0,Transportation service,8,5,1,5
1,0,Translation,1,0,1,5
2,13,Construction/infrastructure/gardening,82,5,1,5
6,33,Office administration/logistics,122,11,1,5
0,12,Customer service and technical support,105,5,1,5
2,3,Production/operation,151,3,1,5
2,14,QMS/safety/environmental protection,38,3,1,5
0,18,Technical work,483,37,1,5
1,2,Procurement,4,0,1,5
0,2,Trade,4,0,1,5
0,0,Biology/chemicals/pharmaceuticals/medical equipment,6,4,1,5
0,3,Advertising,10,0,1,5
0,4,Real property,67,0,1,5
0,0,Property management,3,3,1,5
0,0,Restaurants & recreation,11,2,1,5
0,15,Hotels/tourism,63,0,1,5
0,2,Beauty and personal care,30,0,1,5
0,1,General merchandise/chains/retail,32,2,1,5
0,1,Security/housekeeping/other,2,1,1,5
0,11,Graduates,105,0,1,5
1,22,Other,256,30,1,5
7,21,Computer software,335,37,2,6
37,574,Sales management,6102,352,2,6
53,475,market/marketing,8092,354,2,6
20,852,Sales,14857,558,2,6
0,4,Computer hardware,77,12,2,6
17,76,Internet development and application,384,47,2,6
1,7,IT-Management,21,0,2,6
6,21,"IT-QM, technical support and more",100,5,2,6
0,2,Communications technology,32,4,2,6
22,46,Electronics/appliances/semiconductor/instrumentation,225,3,2,6
29,282,Finance/auditing/tax,920,148,2,6
48,112,Engineering/machinery/energy,2323,54,2,6
28,240,HR,879,113,2,6
5,14,Senior management,35,3,2,6
5,174,Logistics/warehousing,1994,161,2,6
29,126,Art/graphics/Animation design,886,88,2,6
2,0,Science & Technology,6,0,2,6
5,4,Legal profession/law,23,2,2,6
88,42,Education,776,38,2,6
1,20,Hospital/medical/care,133,5,2,6
2,89,Counsel/consulting,765,52,2,6
0,22,Transportation service,264,66,2,6
2,82,Construction/infrastructure/gardening,844,107,2,6
0,9,Banking,31,0,2,6
33,546,Office administration/logistics,2020,242,2,6
17,212,Customer service and technical support,2790,150,2,6
9,34,Securities/finance/investment,4304,74,2,6
1,8,Insurance,786,15,2,6
19,102,Production/operation,2581,107,2,6
24,85,QMS/safety/environmental protection,3136,27,2,6
4,177,Technical work,5714,263,2,6
9,88,Procurement,250,9,2,6
5,20,Trade,107,8,2,6
1,10,Biology/chemicals/pharmaceuticals/medical equipment,72,20,2,6
1,34,Advertising,70,5,2,6
0,4,PRs and news media,24,0,2,6
0,13,"Movies, TV and recreation",43,1,2,6
3,8,Literature/screenwriting/writing,29,8,2,6
4,115,Real property,2633,47,2,6
3,24,Property management,254,19,2,6
0,46,Restaurants & recreation,1634,129,2,6
0,29,Hotels/tourism,231,10,2,6
0,52,Beauty and personal care,1182,29,2,6
2,71,General merchandise/chains/retail,779,13,2,6
0,11,Security/housekeeping/other,434,29,2,6
1,75,Graduates,849,24,2,6
29,184,Other,1112,117,2,6
18,32,Computer software,553,34,3,7
46,991,Sales management,12079,602,3,7
43,751,market/marketing,8168,443,3,7
23,1289,Sales,25855,897,3,7
14,20,Computer hardware,131,8,3,7
15,88,Internet development and application,416,64,3,7
0,4,IT-Management,15,2,3,7
6,39,"IT-QM, technical support and more",199,7,3,7
1,27,Communications technology,289,8,3,7
19,40,Electronics/appliances/semiconductor/instrumentation,247,21,3,7
53,355,Finance/auditing/tax,1032,126,3,7
52,119,Engineering/machinery/energy,3097,29,3,7
90,339,HR,1464,128,3,7
14,18,Senior management,72,12,3,7
3,206,Logistics/warehousing,2412,119,3,7
15,146,Art/graphics/Animation design,881,99,3,7
8,0,Science & Technology,58,3,3,7
11,0,Legal profession/law,21,1,3,7
77,80,Education,839,37,3,7
2,42,Hospital/medical/care,377,23,3,7
12,141,Counsel/consulting,1221,55,3,7
0,37,Transportation service,448,64,3,7
0,18,Translation,65,1,3,7
2,101,Construction/infrastructure/gardening,721,69,3,7
0,6,Banking,50,0,3,7
54,843,Office administration/logistics,3275,339,3,7
17,312,Customer service and technical support,4039,223,3,7
17,54,Securities/finance/investment,1711,57,3,7
20,41,Insurance,600,16,3,7
24,94,Production/operation,1252,35,3,7
18,128,QMS/safety/environmental protection,4835,17,3,7
1,181,Technical work,5988,188,3,7
4,60,Procurement,151,11,3,7
10,7,Trade,57,9,3,7
12,30,Biology/chemicals/pharmaceuticals/medical equipment,204,23,3,7
2,13,Advertising,76,10,3,7
1,1,PRs and news media,39,12,3,7
2,20,"Movies, TV and recreation",342,27,3,7
3,26,Literature/screenwriting/writing,102,24,3,7
8,108,Real property,3176,104,3,7
2,28,Property management,303,32,3,7
0,44,Restaurants & recreation,1381,141,3,7
0,8,Hotels/tourism,141,27,3,7
0,63,Beauty and personal care,1113,17,3,7
5,60,General merchandise/chains/retail,693,36,3,7
0,12,Security/housekeeping/other,270,30,3,7
5,136,Graduates,1605,64,3,7
16,172,Other,1380,167,3,7
0,1,,5,0,4,8
11,12,Computer software,404,30,4,8
19,553,Sales management,5246,230,4,8
9,352,market/marketing,4067,214,4,8
7,788,Sales,13743,363,4,8
0,4,Computer hardware,54,2,4,8
1,49,Internet development and application,302,43,4,8
1,7,IT-Management,30,4,4,8
0,26,"IT-QM, technical support and more",90,1,4,8
0,10,Communications technology,75,2,4,8
15,10,Electronics/appliances/semiconductor/instrumentation,95,5,4,8
17,136,Finance/auditing/tax,347,38,4,8
22,23,Engineering/machinery/energy,232,12,4,8
46,205,HR,845,29,4,8
1,2,Senior management,4,0,4,8
1,94,Logistics/warehousing,429,44,4,8
9,105,Art/graphics/Animation design,438,31,4,8
6,0,Science & Technology,37,0,4,8
2,0,Legal profession/law,10,8,4,8
45,50,Education,619,11,4,8
0,22,Hospital/medical/care,124,2,4,8
10,103,Counsel/consulting,1058,24,4,8
0,32,Transportation service,326,25,4,8
0,2,Translation,2,0,4,8
3,61,Construction/infrastructure/gardening,413,20,4,8
0,10,Banking,10,0,4,8
39,350,Office administration/logistics,1443,143,4,8
4,190,Customer service and technical support,1525,43,4,8
7,42,Securities/finance/investment,1074,33,4,8
5,18,Insurance,568,19,4,8
2,22,Production/operation,141,12,4,8
5,37,QMS/safety/environmental protection,110,5,4,8
0,77,Technical work,3326,70,4,8
1,23,Procurement,53,8,4,8
5,5,Trade,44,2,4,8
4,22,Biology/chemicals/pharmaceuticals/medical equipment,117,23,4,8
2,5,Advertising,23,7,4,8
1,9,PRs and news media,99,2,4,8
0,0,"Movies, TV and recreation",2,2,4,8
2,1,Literature/screenwriting/writing,22,4,4,8
0,12,Real property,631,43,4,8
0,9,Property management,222,20,4,8
0,15,Restaurants & recreation,863,65,4,8
0,2,Hotels/tourism,150,13,4,8
0,9,Beauty and personal care,132,20,4,8
2,24,General merchandise/chains/retail,462,20,4,8
0,3,Security/housekeeping/other,67,11,4,8
4,61,Graduates,691,22,4,8
9,117,Other,705,81,4,8
1,0,,3,0,5,9
14,2,Computer software,318,26,5,9
13,388,Sales management,3694,185,5,9
10,261,market/marketing,3296,181,5,9
20,652,Sales,10040,322,5,9
0,3,Computer hardware,19,3,5,9
2,24,Internet development and application,209,43,5,9
0,6,IT-Management,16,0,5,9
3,17,"IT-QM, technical support and more",44,0,5,9
0,8,Communications technology,40,0,5,9
17,25,Electronics/appliances/semiconductor/instrumentation,105,5,5,9
17,145,Finance/auditing/tax,333,31,5,9
25,45,Engineering/machinery/energy,296,16,5,9
17,121,HR,479,39,5,9
0,6,Senior management,15,7,5,9
1,57,Logistics/warehousing,303,30,5,9
3,68,Art/graphics/Animation design,349,42,5,9
5,2,Science & Technology,46,0,5,9
2,5,Legal profession/law,34,10,5,9
43,21,Education,368,6,5,9
3,13,Hospital/medical/care,143,6,5,9
1,68,Counsel/consulting,749,20,5,9
0,35,Transportation service,434,42,5,9
0,0,Translation,11,7,5,9
3,42,Construction/infrastructure/gardening,315,17,5,9
27,282,Office administration/logistics,1236,138,5,9
1,120,Customer service and technical support,1230,56,5,9
1,24,Securities/finance/investment,731,28,5,9
0,3,Insurance,267,13,5,9
2,24,Production/operation,89,9,5,9
3,8,QMS/safety/environmental protection,45,10,5,9
0,98,Technical work,827,77,5,9
0,16,Procurement,38,10,5,9
1,4,Trade,27,3,5,9
0,20,Biology/chemicals/pharmaceuticals/medical equipment,334,10,5,9
0,3,Advertising,16,0,5,9
1,2,PRs and news media,11,2,5,9
2,2,"Movies, TV and recreation",8,2,5,9
1,6,Literature/screenwriting/writing,40,3,5,9
0,15,Real property,429,18,5,9
0,48,Property management,326,15,5,9
0,17,Restaurants & recreation,2978,134,5,9
0,7,Hotels/tourism,39,6,5,9
0,9,Beauty and personal care,179,12,5,9
0,14,General merchandise/chains/retail,233,21,5,9
0,4,Security/housekeeping/other,102,16,5,9
15,32,Graduates,600,15,5,9
11,89,Other,789,69,5,9
1,18,,114,0,6,10
3,0,Computer software,250,27,6,10
29,281,Sales management,2416,124,6,10
29,179,market/marketing,2024,76,6,10
6,485,Sales,6907,221,6,10
0,10,Computer hardware,37,2,6,10
1,52,Internet development and application,311,39,6,10
0,2,IT-Management,6,0,6,10
4,8,"IT-QM, technical support and more",31,0,6,10
0,8,Communications technology,68,1,6,10
5,28,Electronics/appliances/semiconductor/instrumentation,113,5,6,10
12,107,Finance/auditing/tax,251,11,6,10
18,28,Engineering/machinery/energy,141,9,6,10
8,102,HR,279,19,6,10
4,0,Senior management,56,10,6,10
0,60,Logistics/warehousing,185,19,6,10
7,56,Art/graphics/Animation design,348,23,6,10
0,2,Science & Technology,7,0,6,10
0,0,Legal profession/law,6,5,6,10
12,13,Education,117,1,6,10
10,34,Hospital/medical/care,389,16,6,10
1,19,Counsel/consulting,304,12,6,10
0,18,Transportation service,111,21,6,10
3,40,Construction/infrastructure/gardening,282,23,6,10
24,224,Office administration/logistics,940,92,6,10
4,117,Customer service and technical support,1369,41,6,10
2,35,Securities/finance/investment,477,7,6,10
0,8,Insurance,110,0,6,10
3,26,Production/operation,174,8,6,10
10,25,QMS/safety/environmental protection,132,6,6,10
4,38,Technical work,580,72,6,10
0,1,Fashion/textile/furs,1,0,6,10
0,18,Procurement,51,7,6,10
2,0,Trade,9,2,6,10
0,15,Biology/chemicals/pharmaceuticals/medical equipment,59,2,6,10
0,7,Advertising,34,5,6,10
0,2,PRs and news media,4,0,6,10
0,0,"Movies, TV and recreation",4,2,6,10
0,13,Literature/screenwriting/writing,21,1,6,10
0,10,Real property,1606,56,6,10
0,5,Property management,92,11,6,10
0,13,Restaurants & recreation,495,67,6,10
0,2,Hotels/tourism,16,6,6,10
0,6,Beauty and personal care,78,2,6,10
0,35,General merchandise/chains/retail,291,17,6,10
0,2,Security/housekeeping/other,30,13,6,10
10,25,Graduates,490,9,6,10
8,64,Other,638,33,6,10
3,85,,699,12,7,11
7,20,Computer software,491,34,7,11
18,230,Sales management,2045,133,7,11
13,164,market/marketing,2013,71,7,11
8,468,Sales,7826,311,7,11
2,19,Computer hardware,100,1,7,11
3,42,Internet development and application,488,41,7,11
0,7,IT-Management,69,1,7,11
2,12,"IT-QM, technical support and more",51,1,7,11
2,13,Communications technology,67,0,7,11
9,15,Electronics/appliances/semiconductor/instrumentation,98,3,7,11
17,113,Finance/auditing/tax,320,36,7,11
6,48,Engineering/machinery/energy,289,5,7,11
12,147,HR,451,20,7,11
2,6,Senior management,19,5,7,11
0,54,Logistics/warehousing,258,19,7,11
1,52,Art/graphics/Animation design,312,29,7,11
0,1,Legal profession/law,26,10,7,11
12,17,Education,308,1,7,11
2,15,Hospital/medical/care,164,1,7,11
6,30,Counsel/consulting,494,5,7,11
0,13,Transportation service,109,6,7,11
2,0,Translation,2,0,7,11
12,44,Construction/infrastructure/gardening,316,15,7,11
0,4,Banking,50,0,7,11
20,177,Office administration/logistics,915,122,7,11
7,108,Customer service and technical support,1124,35,7,11
0,16,Securities/finance/investment,394,6,7,11
11,50,Insurance,864,10,7,11
2,21,Production/operation,105,6,7,11
14,18,QMS/safety/environmental protection,125,2,7,11
4,26,Technical work,799,84,7,11
0,1,Fashion/textile/furs,4,3,7,11
2,15,Procurement,67,3,7,11
4,13,Trade,167,2,7,11
6,14,Biology/chemicals/pharmaceuticals/medical equipment,102,2,7,11
0,7,Advertising,32,4,7,11
0,3,PRs and news media,6,0,7,11
2,4,"Movies, TV and recreation",38,6,7,11
2,4,Literature/screenwriting/writing,10,0,7,11
0,38,Real property,563,20,7,11
0,8,Property management,374,36,7,11
0,18,Restaurants & recreation,324,42,7,11
0,6,Hotels/tourism,18,3,7,11
0,3,Beauty and personal care,64,11,7,11
0,23,General merchandise/chains/retail,415,17,7,11
0,0,Security/housekeeping/other,61,9,7,11
8,31,Graduates,408,9,7,11
13,113,Other,785,48,7,11
5,142,,1904,59,8,12
8,29,Computer software,286,1,8,12
9,161,Sales management,1400,120,8,12
8,173,market/marketing,1676,67,8,12
7,406,Sales,5827,223,8,12
2,3,Computer hardware,22,0,8,12
3,45,Internet development and application,499,28,8,12
0,4,IT-Management,13,2,8,12
0,15,"IT-QM, technical support and more",62,4,8,12
0,20,Communications technology,103,6,8,12
6,15,Electronics/appliances/semiconductor/instrumentation,62,0,8,12
9,138,Finance/auditing/tax,326,29,8,12
4,38,Engineering/machinery/energy,464,4,8,12
17,120,HR,336,13,8,12
9,11,Senior management,51,2,8,12
2,56,Logistics/warehousing,480,38,8,12
0,39,Art/graphics/Animation design,209,24,8,12
0,1,Science & Technology,1,0,8,12
42,31,Education,397,2,8,12
0,18,Hospital/medical/care,86,2,8,12
1,40,Counsel/consulting,598,9,8,12
0,23,Transportation service,171,26,8,12
37,53,Construction/infrastructure/gardening,435,13,8,12
0,2,Banking,30,0,8,12
13,230,Office administration/logistics,928,104,8,12
0,102,Customer service and technical support,981,27,8,12
5,18,Securities/finance/investment,432,12,8,12
8,56,Insurance,416,4,8,12
1,54,Production/operation,331,6,8,12
2,22,QMS/safety/environmental protection,429,3,8,12
0,43,Technical work,1384,95,8,12
2,14,Procurement,36,0,8,12
2,8,Trade,134,0,8,12
8,1,Biology/chemicals/pharmaceuticals/medical equipment,50,1,8,12
0,11,Advertising,66,13,8,12
0,2,PRs and news media,4,0,8,12
0,2,"Movies, TV and recreation",6,2,8,12
1,3,Literature/screenwriting/writing,10,2,8,12
4,46,Real property,1168,48,8,12
0,83,Property management,416,13,8,12
0,38,Restaurants & recreation,1150,157,8,12
0,1,Hotels/tourism,2,0,8,12
0,13,Beauty and personal care,229,9,8,12
0,34,General merchandise/chains/retail,511,33,8,12
0,2,Security/housekeeping/other,140,32,8,12
7,41,Graduates,395,12,8,12
14,98,Other,1194,68,8,12
5,115,,1331,41,9,13
10,5,Computer software,79,2,9,13
16,200,Sales management,1601,94,9,13
13,160,market/marketing,1857,53,9,13
6,373,Sales,5413,201,9,13
0,2,Computer hardware,15,1,9,13
15,39,Internet development and application,290,28,9,13
1,4,IT-Management,10,0,9,13
2,27,"IT-QM, technical support and more",86,0,9,13
2,1,Communications technology,9,0,9,13
11,21,Electronics/appliances/semiconductor/instrumentation,139,4,9,13
20,91,Finance/auditing/tax,287,26,9,13
12,42,Engineering/machinery/energy,454,7,9,13
16,113,HR,316,20,9,13
4,2,Senior management,7,0,9,13
6,62,Logistics/warehousing,334,30,9,13
5,46,Art/graphics/Animation design,242,19,9,13
1,0,Science & Technology,3,0,9,13
4,1,Legal profession/law,16,6,9,13
25,30,Education,395,0,9,13
3,33,Hospital/medical/care,317,3,9,13
2,42,Counsel/consulting,661,10,9,13
0,13,Transportation service,104,30,9,13
0,1,Translation,5,0,9,13
6,56,Construction/infrastructure/gardening,310,19,9,13
23,190,Office administration/logistics,604,59,9,13
2,128,Customer service and technical support,1053,23,9,13
5,21,Securities/finance/investment,383,7,9,13
3,39,Insurance,522,1,9,13
3,41,Production/operation,417,6,9,13
3,17,QMS/safety/environmental protection,169,2,9,13
0,51,Technical work,1731,83,9,13
0,1,Fashion/textile/furs,5,0,9,13
8,12,Procurement,65,4,9,13
10,10,Trade,167,0,9,13
0,12,Biology/chemicals/pharmaceuticals/medical equipment,80,6,9,13
7,5,Advertising,41,5,9,13
2,4,PRs and news media,18,4,9,13
2,10,"Movies, TV and recreation",53,4,9,13
2,9,Literature/screenwriting/writing,57,1,9,13
4,29,Real property,878,22,9,13
0,20,Property management,222,16,9,13
0,41,Restaurants & recreation,1057,130,9,13
0,7,Hotels/tourism,95,17,9,13
0,11,Beauty and personal care,362,11,9,13
0,40,General merchandise/chains/retail,491,25,9,13
0,4,Security/housekeeping/other,116,28,9,13
10,51,Graduates,701,7,9,13
5,72,Other,510,46,9,13
0,85,,1358,57,10,14
16,14,Computer software,150,10,10,14
12,200,Sales management,5129,95,10,14
14,121,market/marketing,3597,52,10,14
12,231,Sales,5829,175,10,14
1,7,Computer hardware,29,0,10,14
8,30,Internet development and application,403,29,10,14
2,5,IT-Management,23,1,10,14
3,7,"IT-QM, technical support and more",38,0,10,14
1,2,Communications technology,41,0,10,14
38,19,Electronics/appliances/semiconductor/instrumentation,344,4,10,14
17,72,Finance/auditing/tax,239,35,10,14
41,57,Engineering/machinery/energy,672,15,10,14
8,72,HR,211,21,10,14
9,6,Senior management,19,2,10,14
5,43,Logistics/warehousing,363,29,10,14
8,38,Art/graphics/Animation design,261,24,10,14
5,0,Science & Technology,12,0,10,14
0,0,Legal profession/law,6,3,10,14
26,7,Education,239,5,10,14
0,11,Hospital/medical/care,1445,3,10,14
0,31,Counsel/consulting,578,3,10,14
0,10,Transportation service,70,19,10,14
3,2,Translation,32,0,10,14
7,36,Construction/infrastructure/gardening,277,13,10,14
10,128,Office administration/logistics,486,52,10,14
3,86,Customer service and technical support,671,7,10,14
7,8,Securities/finance/investment,212,11,10,14
7,46,Insurance,465,5,10,14
4,17,Production/operation,94,4,10,14
13,15,QMS/safety/environmental protection,92,3,10,14
7,65,Technical work,1293,86,10,14
5,6,Procurement,15,0,10,14
7,11,Trade,144,1,10,14
32,14,Biology/chemicals/pharmaceuticals/medical equipment,302,2,10,14
0,1,Advertising,5,1,10,14
0,3,PRs and news media,13,2,10,14
1,3,"Movies, TV and recreation",27,2,10,14
3,1,Literature/screenwriting/writing,9,0,10,14
0,15,Real property,203,16,10,14
1,6,Property management,106,16,10,14
0,8,Restaurants & recreation,489,62,10,14
7,7,Hotels/tourism,115,16,10,14
2,9,Beauty and personal care,152,5,10,14
0,12,General merchandise/chains/retail,294,7,10,14
0,2,Security/housekeeping/other,61,20,10,14
28,39,Graduates,821,16,10,14
13,65,Other,364,42,10,14
0,73,,1105,65,11,15
2,10,Computer software,69,7,11,15
12,96,Sales management,1513,66,11,15
6,93,market/marketing,1377,36,11,15
5,144,Sales,2380,117,11,15
0,3,Computer hardware,8,0,11,15
2,14,Internet development and application,195,26,11,15
1,4,IT-Management,19,4,11,15
0,2,"IT-QM, technical support and more",9,1,11,15
0,16,Communications technology,42,0,11,15
12,11,Electronics/appliances/semiconductor/instrumentation,121,6,11,15
3,80,Finance/auditing/tax,173,4,11,15
12,43,Engineering/machinery/energy,477,22,11,15
5,70,HR,177,15,11,15
2,3,Senior management,11,4,11,15
1,31,Logistics/warehousing,162,17,11,15
0,29,Art/graphics/Animation design,173,27,11,15
0,0,Legal profession/law,10,5,11,15
2,10,Education,54,0,11,15
2,7,Hospital/medical/care,264,5,11,15
0,11,Counsel/consulting,173,1,11,15
0,8,Transportation service,37,7,11,15
0,38,Construction/infrastructure/gardening,141,2,11,15
4,0,Banking,40,0,11,15
14,81,Office administration/logistics,364,58,11,15
1,43,Customer service and technical support,707,7,11,15
0,4,Securities/finance/investment,36,0,11,15
