Bachelor's degree,Doctor's degree,Junior college,Junior middle school,MBA,Master's degree,Sector,Senior middle school,Technical secondary school,Total demands,Unlimited,季度,month,s/n,season,total_monthes,year
1,0,20,0,0,0,QMS/safety/environmental protection,3,0,84,11,3stage,9,30,autumn,1,2015
5,0,8,16,0,0,Technical work,16,10,552,41,3stage,9,31,autumn,1,2015
0,0,11,0,0,0,Procurement,6,0,43,1,3stage,9,32,autumn,1,2015
1,0,1,0,0,0,Trade,0,0,4,0,3stage,9,33,autumn,1,2015
6,0,7,0,0,0,Biology/chemicals/pharmaceuticals/medical equipment,0,0,119,4,3stage,9,34,autumn,1,2015
3,0,2,0,0,0,Advertising,0,0,10,0,3stage,9,35,autumn,1,2015
0,0,1,0,0,0,PRs and news media,0,0,10,3,3stage,9,36,autumn,1,2015
2,0,2,0,0,0,"Movies, TV and recreation",0,0,15,3,3stage,9,37,autumn,1,2015
0,0,4,0,0,0,Literature/screenwriting/writing,0,0,18,7,3stage,9,38,autumn,1,2015
0,0,12,42,0,0,Real property,0,0,1170,22,3stage,9,39,autumn,1,2015
0,0,4,0,0,0,Property management,0,0,11,2,3stage,9,40,autumn,1,2015
0,0,22,20,0,0,Restaurants & recreation,11,0,741,30,3stage,9,41,autumn,1,2015
0,0,3,9,0,0,Hotels/tourism,0,0,197,29,3stage,9,42,autumn,1,2015
0,0,2,2,0,0,Beauty and personal care,4,0,327,9,3stage,9,43,autumn,1,2015
0,0,12,0,0,0,General merchandise/chains/retail,0,12,422,4,3stage,9,44,autumn,1,2015
0,0,0,0,0,0,Security/housekeeping/other,2,0,57,11,3stage,9,45,autumn,1,2015
1,0,20,0,0,0,Graduates,1,2,262,6,3stage,9,46,autumn,1,2015
1,0,74,1,0,0,Other,4,2,384,52,3stage,9,47,autumn,1,2015
4,0,13,1,0,0,Computer software,0,0,186,12,4stage,10,1,autumn,2,2015
20,0,295,5,0,0,Sales management,31,32,3257,217,4stage,10,2,autumn,2,2015
13,0,148,1,0,0,market/marketing,16,13,2612,146,4stage,10,3,autumn,2,2015
14,0,303,16,0,0,Sales,124,200,11264,437,4stage,10,4,autumn,2,2015
0,0,0,0,0,0,Computer hardware,3,0,185,8,4stage,10,5,autumn,2,2015
3,0,30,0,0,0,Internet development and application,0,0,204,21,4stage,10,6,autumn,2,2015
0,0,8,0,0,0,IT-Management,0,0,36,4,4stage,10,7,autumn,2,2015
0,0,5,0,0,0,"IT-QM, technical support and more",1,0,34,7,4stage,10,8,autumn,2,2015
0,0,7,0,0,0,Communications technology,0,0,33,2,4stage,10,9,autumn,2,2015
1,0,17,0,0,0,Electronics/appliances/semiconductor/instrumentation,2,1,81,3,4stage,10,10,autumn,2,2015
4,0,77,2,0,0,Finance/auditing/tax,11,7,302,39,4stage,10,11,autumn,2,2015
13,0,44,1,0,0,Engineering/machinery/energy,3,7,607,17,4stage,10,12,autumn,2,2015
10,0,119,0,0,0,HR,5,0,266,17,4stage,10,13,autumn,2,2015
2,0,5,0,0,1,Senior management,0,2,54,4,4stage,10,14,autumn,2,2015
2,0,12,3,0,0,Logistics/warehousing,20,4,358,61,4stage,10,15,autumn,2,2015
8,0,51,0,0,0,Art/graphics/Animation design,3,4,332,21,4stage,10,16,autumn,2,2015
1,0,0,0,0,0,Science & Technology,0,0,1,0,4stage,10,17,autumn,2,2015
10,0,41,0,0,0,Education,2,2,341,8,4stage,10,18,autumn,2,2015
1,0,26,0,0,0,Hospital/medical/care,0,0,184,4,4stage,10,19,autumn,2,2015
1,0,29,0,0,0,Counsel/consulting,2,1,546,33,4stage,10,20,autumn,2,2015
0,0,8,5,0,0,Transportation service,6,1,119,21,4stage,10,21,autumn,2,2015
2,0,4,0,0,0,Translation,0,0,15,1,4stage,10,22,autumn,2,2015
4,0,29,0,0,0,Construction/infrastructure/gardening,1,1,153,6,4stage,10,23,autumn,2,2015
22,0,157,3,0,0,Office administration/logistics,19,25,801,143,4stage,10,24,autumn,2,2015
2,0,67,0,0,0,Customer service and technical support,14,37,1246,33,4stage,10,25,autumn,2,2015
1,0,41,0,0,0,Securities/finance/investment,17,0,1052,49,4stage,10,26,autumn,2,2015
6,0,9,0,0,0,Insurance,2,6,287,0,4stage,10,27,autumn,2,2015
9,0,16,0,0,0,Production/operation,0,0,74,11,4stage,10,28,autumn,2,2015
1,0,21,0,0,0,QMS/safety/environmental protection,0,2,109,6,4stage,10,29,autumn,2,2015
3,0,7,4,0,0,Technical work,25,5,880,50,4stage,10,30,autumn,2,2015
0,0,10,0,0,0,Procurement,4,0,40,0,4stage,10,31,autumn,2,2015
1,0,0,0,0,0,Trade,0,0,2,0,4stage,10,32,autumn,2,2015
8,0,5,0,0,0,Biology/chemicals/pharmaceuticals/medical equipment,2,1,100,7,4stage,10,33,autumn,2,2015
0,0,13,0,0,0,Advertising,0,0,36,1,4stage,10,34,autumn,2,2015
0,0,0,0,0,0,"Movies, TV and recreation",0,0,4,4,4stage,10,35,autumn,2,2015
0,0,8,0,0,0,Literature/screenwriting/writing,4,0,175,6,4stage,10,36,autumn,2,2015
0,0,25,26,0,0,Real property,0,0,806,31,4stage,10,37,autumn,2,2015
0,0,12,0,0,0,Property management,0,5,66,10,4stage,10,38,autumn,2,2015
0,0,0,10,0,0,Restaurants & recreation,4,0,467,64,4stage,10,39,autumn,2,2015
0,0,3,4,0,0,Hotels/tourism,0,4,54,10,4stage,10,40,autumn,2,2015
0,0,0,0,0,0,Beauty and personal care,2,2,130,7,4stage,10,41,autumn,2,2015
0,0,9,0,0,0,General merchandise/chains/retail,2,0,168,5,4stage,10,42,autumn,2,2015
0,0,8,3,0,0,Security/housekeeping/other,4,3,152,17,4stage,10,43,autumn,2,2015
1,0,68,0,0,0,Graduates,0,1,1456,67,4stage,10,44,autumn,2,2015
2,0,77,0,0,0,Other,13,0,682,77,4stage,10,45,autumn,2,2015
6,0,22,0,0,0,Computer software,0,0,211,17,4stage,11,1,autumn,3,2015
7,0,175,2,0,0,Sales management,25,24,2205,156,4stage,11,2,autumn,3,2015
4,0,102,0,0,0,market/marketing,28,27,2195,106,4stage,11,3,autumn,3,2015
11,0,256,10,0,0,Sales,107,213,8730,279,4stage,11,4,autumn,3,2015
0,0,5,0,0,0,Computer hardware,0,1,90,6,4stage,11,5,autumn,3,2015
1,0,35,0,0,0,Internet development and application,0,8,258,9,4stage,11,6,autumn,3,2015
0,0,1,0,0,0,IT-Management,0,0,142,2,4stage,11,7,autumn,3,2015
0,0,10,0,0,0,"IT-QM, technical support and more",5,1,95,6,4stage,11,8,autumn,3,2015
1,0,3,0,0,0,Communications technology,0,2,79,4,4stage,11,9,autumn,3,2015
8,0,12,0,0,3,Electronics/appliances/semiconductor/instrumentation,7,0,156,4,4stage,11,10,autumn,3,2015
0,0,60,4,0,0,Finance/auditing/tax,16,11,195,22,4stage,11,11,autumn,3,2015
7,0,16,0,0,0,Engineering/machinery/energy,2,2,63,5,4stage,11,12,autumn,3,2015
7,0,60,0,0,0,HR,4,0,210,17,4stage,11,13,autumn,3,2015
1,0,5,0,0,0,Senior management,0,0,25,5,4stage,11,14,autumn,3,2015
0,0,11,10,0,0,Logistics/warehousing,7,8,301,48,4stage,11,15,autumn,3,2015
3,0,29,0,0,0,Art/graphics/Animation design,1,1,129,8,4stage,11,16,autumn,3,2015
0,0,0,0,0,0,Science & Technology,0,0,12,2,4stage,11,17,autumn,3,2015
0,0,0,0,0,0,Legal profession/law,0,0,8,2,4stage,11,18,autumn,3,2015
3,0,18,0,0,0,Education,0,0,106,6,4stage,11,19,autumn,3,2015
0,0,15,0,0,0,Hospital/medical/care,0,0,109,3,4stage,11,20,autumn,3,2015
0,0,34,0,0,0,Counsel/consulting,4,3,285,13,4stage,11,21,autumn,3,2015
0,0,2,10,0,0,Transportation service,0,1,96,12,4stage,11,22,autumn,3,2015
6,0,0,0,0,0,Translation,0,0,14,0,4stage,11,23,autumn,3,2015
4,0,25,0,0,0,Construction/infrastructure/gardening,0,0,375,24,4stage,11,24,autumn,3,2015
5,0,127,1,0,0,Office administration/logistics,6,17,851,90,4stage,11,25,autumn,3,2015
0,0,28,0,0,0,Customer service and technical support,9,26,826,37,4stage,11,26,autumn,3,2015
0,0,22,0,0,0,Securities/finance/investment,14,2,752,34,4stage,11,27,autumn,3,2015
7,0,26,8,0,0,Insurance,0,0,1125,0,4stage,11,28,autumn,3,2015
1,0,2,0,0,0,Production/operation,3,4,249,4,4stage,11,29,autumn,3,2015
2,0,25,0,0,0,QMS/safety/environmental protection,0,0,67,9,4stage,11,30,autumn,3,2015
0,0,6,4,0,0,Technical work,0,2,621,59,4stage,11,31,autumn,3,2015
0,0,0,0,0,0,Fashion/textile/furs,1,0,1,0,4stage,11,32,autumn,3,2015
0,0,9,0,0,0,Procurement,6,2,53,2,4stage,11,33,autumn,3,2015
3,0,6,0,0,0,Trade,0,0,33,2,4stage,11,34,autumn,3,2015
9,0,6,0,0,0,Biology/chemicals/pharmaceuticals/medical equipment,1,0,156,27,4stage,11,35,autumn,3,2015
0,0,3,0,0,0,Advertising,0,0,10,1,4stage,11,36,autumn,3,2015
0,0,5,0,0,0,"Movies, TV and recreation",0,0,13,0,4stage,11,37,autumn,3,2015
0,0,7,0,0,0,Literature/screenwriting/writing,0,1,14,1,4stage,11,38,autumn,3,2015
0,0,10,20,0,0,Real property,2,3,1218,51,4stage,11,39,autumn,3,2015
0,0,5,0,0,0,Property management,0,1,255,12,4stage,11,40,autumn,3,2015
0,0,10,4,0,0,Restaurants & recreation,6,10,1125,121,4stage,11,41,autumn,3,2015
0,0,5,4,0,0,Hotels/tourism,3,2,303,11,4stage,11,42,autumn,3,2015
0,0,0,0,0,0,Beauty and personal care,0,0,118,13,4stage,11,43,autumn,3,2015
0,0,1,0,0,0,General merchandise/chains/retail,0,0,23,3,4stage,11,44,autumn,3,2015
0,0,2,3,0,0,Security/housekeeping/other,0,0,51,5,4stage,11,45,autumn,3,2015
2,0,56,0,0,0,Graduates,2,4,1317,57,4stage,11,46,autumn,3,2015
0,0,49,0,0,0,Other,10,2,311,43,4stage,11,47,autumn,3,2015
5,0,11,0,0,0,Computer software,0,0,235,9,4stage,12,1,winter,4,2015
4,0,126,0,0,0,Sales management,16,7,1528,146,4stage,12,2,winter,4,2015
4,0,54,1,0,0,market/marketing,12,10,757,66,4stage,12,3,winter,4,2015
7,0,159,2,0,0,Sales,71,161,5842,187,4stage,12,4,winter,4,2015
2,0,2,0,0,0,Computer hardware,0,0,18,3,4stage,12,5,winter,4,2015
0,0,11,0,0,0,Internet development and application,0,0,106,29,4stage,12,6,winter,4,2015
0,0,1,0,0,0,IT-Management,0,0,72,1,4stage,12,7,winter,4,2015
1,0,5,0,0,0,"IT-QM, technical support and more",2,0,81,5,4stage,12,8,winter,4,2015
2,0,0,0,0,0,Communications technology,0,1,26,2,4stage,12,9,winter,4,2015
2,0,0,0,0,2,Electronics/appliances/semiconductor/instrumentation,1,0,42,3,4stage,12,10,winter,4,2015
9,0,47,0,0,0,Finance/auditing/tax,6,3,168,27,4stage,12,11,winter,4,2015
13,0,39,0,0,0,Engineering/machinery/energy,0,0,198,10,4stage,12,12,winter,4,2015
7,0,26,0,0,0,HR,3,0,105,19,4stage,12,13,winter,4,2015
0,0,9,0,0,0,Senior management,0,0,23,4,4stage,12,14,winter,4,2015
0,0,16,4,0,0,Logistics/warehousing,11,6,256,43,4stage,12,15,winter,4,2015
0,0,14,0,0,0,Art/graphics/Animation design,0,0,82,25,4stage,12,16,winter,4,2015
0,0,0,0,0,0,Science & Technology,0,0,6,1,4stage,12,17,winter,4,2015
0,0,4,0,0,0,Legal profession/law,0,0,16,1,4stage,12,18,winter,4,2015
7,0,3,0,0,0,Education,0,0,89,4,4stage,12,19,winter,4,2015
0,0,9,0,0,0,Hospital/medical/care,0,0,71,2,4stage,12,20,winter,4,2015
4,0,38,0,0,0,Counsel/consulting,12,0,645,17,4stage,12,21,winter,4,2015
0,0,0,4,0,0,Transportation service,1,0,48,13,4stage,12,22,winter,4,2015
0,0,4,0,0,0,Translation,0,0,4,0,4stage,12,23,winter,4,2015
3,0,23,0,0,0,Construction/infrastructure/gardening,1,0,164,9,4stage,12,24,winter,4,2015
0,0,1,0,0,0,Banking,0,0,5,0,4stage,12,25,winter,4,2015
3,0,80,5,0,0,Office administration/logistics,2,11,454,76,4stage,12,26,winter,4,2015
1,0,20,0,0,0,Customer service and technical support,6,0,362,27,4stage,12,27,winter,4,2015
1,0,11,0,0,0,Securities/finance/investment,6,0,424,13,4stage,12,28,winter,4,2015
0,0,4,1,0,0,Insurance,0,0,140,2,4stage,12,29,winter,4,2015
0,0,2,0,0,0,Production/operation,2,3,219,6,4stage,12,30,winter,4,2015
2,0,18,0,0,0,QMS/safety/environmental protection,0,0,48,5,4stage,12,31,winter,4,2015
1,0,2,2,0,0,Technical work,0,2,591,55,4stage,12,32,winter,4,2015
0,0,0,0,0,0,Fashion/textile/furs,0,0,4,2,4stage,12,33,winter,4,2015
1,0,4,0,0,0,Procurement,0,1,11,1,4stage,12,34,winter,4,2015
1,0,4,0,0,0,Trade,0,0,9,1,4stage,12,35,winter,4,2015
4,0,3,0,0,0,Biology/chemicals/pharmaceuticals/medical equipment,1,0,42,4,4stage,12,36,winter,4,2015
0,0,4,0,0,0,Advertising,0,0,16,0,4stage,12,37,winter,4,2015
0,0,3,0,0,0,"Movies, TV and recreation",0,0,5,1,4stage,12,38,winter,4,2015
0,0,6,0,0,0,Literature/screenwriting/writing,0,0,25,4,4stage,12,39,winter,4,2015
0,0,9,0,0,0,Real property,0,6,695,30,4stage,12,40,winter,4,2015
0,0,3,0,0,0,Property management,2,1,74,7,4stage,12,41,winter,4,2015
0,0,6,6,0,0,Restaurants & recreation,12,7,781,79,4stage,12,42,winter,4,2015
0,0,1,0,0,0,Hotels/tourism,0,0,79,9,4stage,12,43,winter,4,2015
0,0,0,0,0,0,Beauty and personal care,0,0,8,2,4stage,12,44,winter,4,2015
0,0,3,3,0,0,General merchandise/chains/retail,2,2,182,8,4stage,12,45,winter,4,2015
0,0,0,0,0,0,Security/housekeeping/other,1,0,60,7,4stage,12,46,winter,4,2015
4,0,18,0,0,0,Graduates,2,0,512,30,4stage,12,47,winter,4,2015
0,0,36,0,0,0,Other,9,3,439,48,4stage,12,48,winter,4,2015
2,0,3,0,0,0,Computer software,0,2,35,4,1stage,1,1,winter,5,2016
2,0,24,0,0,0,Sales management,3,2,277,12,1stage,1,2,winter,5,2016
2,0,21,0,0,0,market/marketing,6,0,332,28,1stage,1,3,winter,5,2016
1,0,46,0,0,0,Sales,17,4,1015,48,1stage,1,4,winter,5,2016
0,0,0,0,0,0,Computer hardware,0,0,1,1,1stage,1,5,winter,5,2016
0,0,4,0,0,0,Internet development and application,0,1,59,9,1stage,1,6,winter,5,2016
0,0,2,0,0,0,"IT-QM, technical support and more",2,0,50,0,1stage,1,7,winter,5,2016
4,0,5,0,0,0,Electronics/appliances/semiconductor/instrumentation,0,0,19,0,1stage,1,8,winter,5,2016
6,0,20,0,0,0,Finance/auditing/tax,0,0,54,8,1stage,1,9,winter,5,2016
6,0,22,0,0,0,Engineering/machinery/energy,0,3,105,3,1stage,1,10,winter,5,2016
8,0,5,0,0,0,HR,0,0,18,0,1stage,1,11,winter,5,2016
0,0,2,0,0,0,Senior management,0,0,24,4,1stage,1,12,winter,5,2016
1,0,7,0,0,0,Logistics/warehousing,1,0,40,11,1stage,1,13,winter,5,2016
0,0,4,0,0,0,Art/graphics/Animation design,1,0,30,6,1stage,1,14,winter,5,2016
0,0,6,0,0,0,Legal profession/law,0,0,18,0,1stage,1,15,winter,5,2016
0,0,1,0,0,0,Hospital/medical/care,0,0,6,0,1stage,1,16,winter,5,2016
0,0,5,0,0,0,Counsel/consulting,0,0,95,10,1stage,1,17,winter,5,2016
0,0,0,0,0,0,Transportation service,0,0,8,5,1stage,1,18,winter,5,2016
1,0,0,0,0,0,Translation,0,0,1,0,1stage,1,19,winter,5,2016
2,0,11,0,0,0,Construction/infrastructure/gardening,0,2,82,5,1stage,1,20,winter,5,2016
6,0,31,0,0,0,Office administration/logistics,2,0,122,11,1stage,1,21,winter,5,2016
0,0,12,0,0,0,Customer service and technical support,0,0,105,5,1stage,1,22,winter,5,2016
2,0,2,0,0,0,Production/operation,1,0,151,3,1stage,1,23,winter,5,2016
2,0,13,0,0,0,QMS/safety/environmental protection,0,1,38,3,1stage,1,24,winter,5,2016
0,0,3,7,0,0,Technical work,0,8,483,37,1stage,1,25,winter,5,2016
1,0,2,0,0,0,Procurement,0,0,4,0,1stage,1,26,winter,5,2016
0,0,2,0,0,0,Trade,0,0,4,0,1stage,1,27,winter,5,2016
0,0,0,0,0,0,Biology/chemicals/pharmaceuticals/medical equipment,0,0,6,4,1stage,1,28,winter,5,2016
0,0,3,0,0,0,Advertising,0,0,10,0,1stage,1,29,winter,5,2016
0,0,3,0,0,0,Real property,0,1,67,0,1stage,1,30,winter,5,2016
0,0,0,0,0,0,Property management,0,0,3,3,1stage,1,31,winter,5,2016
0,0,0,0,0,0,Restaurants & recreation,0,0,11,2,1stage,1,32,winter,5,2016
0,0,6,3,0,0,Hotels/tourism,0,6,63,0,1stage,1,33,winter,5,2016
0,0,0,1,0,0,Beauty and personal care,1,0,30,0,1stage,1,34,winter,5,2016
0,0,1,0,0,0,General merchandise/chains/retail,0,0,32,2,1stage,1,35,winter,5,2016
0,0,1,0,0,0,Security/housekeeping/other,0,0,2,1,1stage,1,36,winter,5,2016
0,0,11,0,0,0,Graduates,0,0,105,0,1stage,1,37,winter,5,2016
1,0,14,0,0,0,Other,3,5,256,30,1stage,1,38,winter,5,2016
7,0,21,0,0,0,Computer software,0,0,335,37,1stage,2,1,winter,6,2016
37,0,470,8,0,0,Sales management,54,42,6102,352,1stage,2,2,winter,6,2016
53,0,322,4,0,0,market/marketing,95,54,8092,354,1stage,2,3,winter,6,2016
20,0,569,27,0,0,Sales,202,54,14857,558,1stage,2,4,winter,6,2016
0,0,4,0,0,0,Computer hardware,0,0,77,12,1stage,2,5,winter,6,2016
17,0,68,0,0,0,Internet development and application,0,8,384,47,1stage,2,6,winter,6,2016
1,0,7,0,0,0,IT-Management,0,0,21,0,1stage,2,7,winter,6,2016
6,0,20,0,0,0,"IT-QM, technical support and more",0,1,100,5,1stage,2,8,winter,6,2016
0,0,0,0,0,0,Communications technology,2,0,32,4,1stage,2,9,winter,6,2016
20,0,28,0,0,2,Electronics/appliances/semiconductor/instrumentation,6,12,225,3,1stage,2,10,winter,6,2016
29,0,270,5,0,0,Finance/auditing/tax,2,5,920,148,1stage,2,11,winter,6,2016
48,0,92,2,0,0,Engineering/machinery/energy,4,14,2323,54,1stage,2,12,winter,6,2016
28,0,216,4,0,0,HR,15,5,879,113,1stage,2,13,winter,6,2016
5,0,14,0,0,0,Senior management,0,0,35,3,1stage,2,14,winter,6,2016
5,0,93,10,0,0,Logistics/warehousing,47,24,1994,161,1stage,2,15,winter,6,2016
29,0,124,0,0,0,Art/graphics/Animation design,0,2,886,88,1stage,2,16,winter,6,2016
2,0,0,0,0,0,Science & Technology,0,0,6,0,1stage,2,17,winter,6,2016
5,0,4,0,0,0,Legal profession/law,0,0,23,2,1stage,2,18,winter,6,2016
78,0,36,0,0,10,Education,0,6,776,38,1stage,2,19,winter,6,2016
1,0,20,0,0,0,Hospital/medical/care,0,0,133,5,1stage,2,20,winter,6,2016
2,0,79,0,0,0,Counsel/consulting,0,10,765,52,1stage,2,21,winter,6,2016
0,0,1,4,0,0,Transportation service,15,2,264,66,1stage,2,22,winter,6,2016
2,0,70,0,0,0,Construction/infrastructure/gardening,7,5,844,107,1stage,2,23,winter,6,2016
0,0,3,0,0,0,Banking,0,6,31,0,1stage,2,24,winter,6,2016
33,0,466,0,0,0,Office administration/logistics,49,31,2020,242,1stage,2,25,winter,6,2016
17,0,174,0,0,0,Customer service and technical support,27,11,2790,150,1stage,2,26,winter,6,2016
9,0,33,0,0,0,Securities/finance/investment,1,0,4304,74,1stage,2,27,winter,6,2016
1,0,8,0,0,0,Insurance,0,0,786,15,1stage,2,28,winter,6,2016
19,0,84,4,0,0,Production/operation,3,11,2581,107,1stage,2,29,winter,6,2016
24,0,45,16,0,0,QMS/safety/environmental protection,7,17,3136,27,1stage,2,30,winter,6,2016
4,0,15,70,0,0,Technical work,46,46,5714,263,1stage,2,31,winter,6,2016
9,0,69,0,0,0,Procurement,0,19,250,9,1stage,2,32,winter,6,2016
5,0,20,0,0,0,Trade,0,0,107,8,1stage,2,33,winter,6,2016
1,0,10,0,0,0,Biology/chemicals/pharmaceuticals/medical equipment,0,0,72,20,1stage,2,34,winter,6,2016
1,0,34,0,0,0,Advertising,0,0,70,5,1stage,2,35,winter,6,2016
0,0,4,0,0,0,PRs and news media,0,0,24,0,1stage,2,36,winter,6,2016
0,0,13,0,0,0,"Movies, TV and recreation",0,0,43,1,1stage,2,37,winter,6,2016
3,0,7,0,0,0,Literature/screenwriting/writing,0,1,29,8,1stage,2,38,winter,6,2016
4,0,30,32,0,0,Real property,30,23,2633,47,1stage,2,39,winter,6,2016
3,0,18,0,0,0,Property management,0,6,254,19,1stage,2,40,winter,6,2016
0,0,7,8,0,0,Restaurants & recreation,27,4,1634,129,1stage,2,41,winter,6,2016
0,0,28,0,0,0,Hotels/tourism,1,0,231,10,1stage,2,42,winter,6,2016
0,0,8,19,0,0,Beauty and personal care,15,10,1182,29,1stage,2,43,winter,6,2016
2,0,25,8,0,0,General merchandise/chains/retail,8,30,779,13,1stage,2,44,winter,6,2016
0,0,7,0,0,0,Security/housekeeping/other,4,0,434,29,1stage,2,45,winter,6,2016
1,0,66,0,0,0,Graduates,9,0,849,24,1stage,2,46,winter,6,2016
29,0,138,0,0,0,Other,32,14,1112,117,1stage,2,47,winter,6,2016
18,0,27,0,0,0,Computer software,3,2,553,34,1stage,3,1,spring,7,2016
46,0,789,8,0,0,Sales management,128,66,12079,602,1stage,3,2,spring,7,2016
43,0,575,12,0,0,market/marketing,118,46,8168,443,1stage,3,3,spring,7,2016
23,0,712,28,0,0,Sales,429,120,25855,897,1stage,3,4,spring,7,2016
14,0,18,0,0,0,Computer hardware,0,2,131,8,1stage,3,5,spring,7,2016
15,0,82,0,0,0,Internet development and application,3,3,416,64,1stage,3,6,spring,7,2016
0,0,4,0,0,0,IT-Management,0,0,15,2,1stage,3,7,spring,7,2016
6,0,37,0,0,0,"IT-QM, technical support and more",2,0,199,7,1stage,3,8,spring,7,2016
1,0,5,0,0,0,Communications technology,22,0,289,8,1stage,3,9,spring,7,2016
19,0,26,0,0,0,Electronics/appliances/semiconductor/instrumentation,0,14,247,21,1stage,3,10,spring,7,2016
53,0,336,0,0,0,Finance/auditing/tax,6,13,1032,126,1stage,3,11,spring,7,2016
52,0,101,4,0,0,Engineering/machinery/energy,1,13,3097,29,1stage,3,12,spring,7,2016
90,0,312,4,0,0,HR,6,17,1464,128,1stage,3,13,spring,7,2016
14,0,18,0,0,0,Senior management,0,0,72,12,1stage,3,14,spring,7,2016
3,0,113,20,0,0,Logistics/warehousing,47,26,2412,119,1stage,3,15,spring,7,2016
15,0,134,0,0,0,Art/graphics/Animation design,3,9,881,99,1stage,3,16,spring,7,2016
6,2,0,0,0,0,Science & Technology,0,0,58,3,1stage,3,17,spring,7,2016
11,0,0,0,0,0,Legal profession/law,0,0,21,1,1stage,3,18,spring,7,2016
75,0,78,0,0,2,Education,2,0,839,37,1stage,3,19,spring,7,2016
2,0,39,0,0,0,Hospital/medical/care,0,3,377,23,1stage,3,20,spring,7,2016
12,0,129,0,0,0,Counsel/consulting,5,7,1221,55,1stage,3,21,spring,7,2016
0,0,3,21,0,0,Transportation service,13,0,448,64,1stage,3,22,spring,7,2016
0,0,18,0,0,0,Translation,0,0,65,1,1stage,3,23,spring,7,2016
2,0,90,0,0,0,Construction/infrastructure/gardening,4,7,721,69,1stage,3,24,spring,7,2016
0,0,6,0,0,0,Banking,0,0,50,0,1stage,3,25,spring,7,2016
54,0,716,2,0,0,Office administration/logistics,46,79,3275,339,1stage,3,26,spring,7,2016
17,0,241,1,0,0,Customer service and technical support,40,30,4039,223,1stage,3,27,spring,7,2016
17,0,41,0,0,0,Securities/finance/investment,13,0,1711,57,1stage,3,28,spring,7,2016
20,0,30,0,0,0,Insurance,11,0,600,16,1stage,3,29,spring,7,2016
24,0,71,6,0,0,Production/operation,12,5,1252,35,1stage,3,30,spring,7,2016
18,0,64,28,0,0,QMS/safety/environmental protection,8,28,4835,17,1stage,3,31,spring,7,2016
1,0,8,120,0,0,Technical work,39,14,5988,188,1stage,3,32,spring,7,2016
4,0,52,0,0,0,Procurement,0,8,151,11,1stage,3,33,spring,7,2016
10,0,7,0,0,0,Trade,0,0,57,9,1stage,3,34,spring,7,2016
10,0,24,4,0,2,Biology/chemicals/pharmaceuticals/medical equipment,2,0,204,23,1stage,3,35,spring,7,2016
