Bachelor's degree,Doctor's degree,Junior college,Junior middle school,MBA,Master's degree,Sector,Senior middle school,Technical secondary school,Total demands,Unlimited,season,month,year
0,0,22,20,0,0,Restaurants & recreation,11,0,741,30,autumn,9,2015
0,0,3,9,0,0,Hotels/tourism,0,0,197,29,autumn,9,2015
0,0,2,2,0,0,Beauty and personal care,4,0,327,9,autumn,9,2015
0,0,12,0,0,0,General merchandise/chains/retail,0,12,422,4,autumn,9,2015
0,0,0,0,0,0,Security/housekeeping/other,2,0,57,11,autumn,9,2015
1,0,20,0,0,0,Graduates,1,2,262,6,autumn,9,2015
1,0,74,1,0,0,Other,4,2,384,52,autumn,9,2015
4,0,13,1,0,0,Computer software,0,0,186,12,autumn,10,2015
20,0,295,5,0,0,Sales management,31,32,3257,217,autumn,10,2015
13,0,148,1,0,0,market/marketing,16,13,2612,146,autumn,10,2015
14,0,303,16,0,0,Sales,124,200,11264,437,autumn,10,2015
0,0,0,0,0,0,Computer hardware,3,0,185,8,autumn,10,2015
3,0,30,0,0,0,Internet development and application,0,0,204,21,autumn,10,2015
0,0,8,0,0,0,IT-Management,0,0,36,4,autumn,10,2015
0,0,5,0,0,0,"IT-QM, technical support and more",1,0,34,7,autumn,10,2015
0,0,7,0,0,0,Communications technology,0,0,33,2,autumn,10,2015
1,0,17,0,0,0,Electronics/appliances/semiconductor/instrumentation,2,1,81,3,autumn,10,2015
4,0,77,2,0,0,Finance/auditing/tax,11,7,302,39,autumn,10,2015
13,0,44,1,0,0,Engineering/machinery/energy,3,7,607,17,autumn,10,2015
10,0,119,0,0,0,HR,5,0,266,17,autumn,10,2015
2,0,5,0,0,1,Senior management,0,2,54,4,autumn,10,2015
2,0,12,3,0,0,Logistics/warehousing,20,4,358,61,autumn,10,2015
8,0,51,0,0,0,Art/graphics/Animation design,3,4,332,21,autumn,10,2015
1,0,0,0,0,0,Science & Technology,0,0,1,0,autumn,10,2015
10,0,41,0,0,0,Education,2,2,341,8,autumn,10,2015
1,0,26,0,0,0,Hospital/medical/care,0,0,184,4,autumn,10,2015
1,0,29,0,0,0,Counsel/consulting,2,1,546,33,autumn,10,2015
0,0,8,5,0,0,Transportation service,6,1,119,21,autumn,10,2015
2,0,4,0,0,0,Translation,0,0,15,1,autumn,10,2015
4,0,29,0,0,0,Construction/infrastructure/gardening,1,1,153,6,autumn,10,2015
22,0,157,3,0,0,Office administration/logistics,19,25,801,143,autumn,10,2015
2,0,67,0,0,0,Customer service and technical support,14,37,1246,33,autumn,10,2015
1,0,41,0,0,0,Securities/finance/investment,17,0,1052,49,autumn,10,2015
6,0,9,0,0,0,Insurance,2,6,287,0,autumn,10,2015
9,0,16,0,0,0,Production/operation,0,0,74,11,autumn,10,2015
1,0,21,0,0,0,QMS/safety/environmental protection,0,2,109,6,autumn,10,2015
3,0,7,4,0,0,Technical work,25,5,880,50,autumn,10,2015
0,0,10,0,0,0,Procurement,4,0,40,0,autumn,10,2015
1,0,0,0,0,0,Trade,0,0,2,0,autumn,10,2015
8,0,5,0,0,0,Biology/chemicals/pharmaceuticals/medical equipment,2,1,100,7,autumn,10,2015
0,0,13,0,0,0,Advertising,0,0,36,1,autumn,10,2015
0,0,0,0,0,0,"Movies, TV and recreation",0,0,4,4,autumn,10,2015
0,0,8,0,0,0,Literature/screenwriting/writing,4,0,175,6,autumn,10,2015
0,0,25,26,0,0,Real property,0,0,806,31,autumn,10,2015
0,0,12,0,0,0,Property management,0,5,66,10,autumn,10,2015
0,0,0,10,0,0,Restaurants & recreation,4,0,467,64,autumn,10,2015
0,0,3,4,0,0,Hotels/tourism,0,4,54,10,autumn,10,2015
0,0,0,0,0,0,Beauty and personal care,2,2,130,7,autumn,10,2015
0,0,9,0,0,0,General merchandise/chains/retail,2,0,168,5,autumn,10,2015
0,0,8,3,0,0,Security/housekeeping/other,4,3,152,17,autumn,10,2015
1,0,68,0,0,0,Graduates,0,1,1456,67,autumn,10,2015
2,0,77,0,0,0,Other,13,0,682,77,autumn,10,2015
6,0,22,0,0,0,Computer software,0,0,211,17,autumn,11,2015
7,0,175,2,0,0,Sales management,25,24,2205,156,autumn,11,2015
4,0,102,0,0,0,market/marketing,28,27,2195,106,autumn,11,2015
11,0,256,10,0,0,Sales,107,213,8730,279,autumn,11,2015
0,0,5,0,0,0,Computer hardware,0,1,90,6,autumn,11,2015
1,0,35,0,0,0,Internet development and application,0,8,258,9,autumn,11,2015
0,0,1,0,0,0,IT-Management,0,0,142,2,autumn,11,2015
0,0,10,0,0,0,"IT-QM, technical support and more",5,1,95,6,autumn,11,2015
1,0,3,0,0,0,Communications technology,0,2,79,4,autumn,11,2015
8,0,12,0,0,3,Electronics/appliances/semiconductor/instrumentation,7,0,156,4,autumn,11,2015
0,0,60,4,0,0,Finance/auditing/tax,16,11,195,22,autumn,11,2015
7,0,16,0,0,0,Engineering/machinery/energy,2,2,63,5,autumn,11,2015
7,0,60,0,0,0,HR,4,0,210,17,autumn,11,2015
1,0,5,0,0,0,Senior management,0,0,25,5,autumn,11,2015
0,0,11,10,0,0,Logistics/warehousing,7,8,301,48,autumn,11,2015
3,0,29,0,0,0,Art/graphics/Animation design,1,1,129,8,autumn,11,2015
0,0,0,0,0,0,Science & Technology,0,0,12,2,autumn,11,2015
0,0,0,0,0,0,Legal profession/law,0,0,8,2,autumn,11,2015
3,0,18,0,0,0,Education,0,0,106,6,autumn,11,2015
0,0,15,0,0,0,Hospital/medical/care,0,0,109,3,autumn,11,2015
0,0,34,0,0,0,Counsel/consulting,4,3,285,13,autumn,11,2015
0,0,2,10,0,0,Transportation service,0,1,96,12,autumn,11,2015
6,0,0,0,0,0,Translation,0,0,14,0,autumn,11,2015
4,0,25,0,0,0,Construction/infrastructure/gardening,0,0,375,24,autumn,11,2015
5,0,127,1,0,0,Office administration/logistics,6,17,851,90,autumn,11,2015
0,0,28,0,0,0,Customer service and technical support,9,26,826,37,autumn,11,2015
0,0,22,0,0,0,Securities/finance/investment,14,2,752,34,autumn,11,2015
7,0,26,8,0,0,Insurance,0,0,1125,0,autumn,11,2015
1,0,2,0,0,0,Production/operation,3,4,249,4,autumn,11,2015
2,0,25,0,0,0,QMS/safety/environmental protection,0,0,67,9,autumn,11,2015
0,0,6,4,0,0,Technical work,0,2,621,59,autumn,11,2015
0,0,0,0,0,0,Fashion/textile/furs,1,0,1,0,autumn,11,2015
0,0,9,0,0,0,Procurement,6,2,53,2,autumn,11,2015
3,0,6,0,0,0,Trade,0,0,33,2,autumn,11,2015
9,0,6,0,0,0,Biology/chemicals/pharmaceuticals/medical equipment,1,0,156,27,autumn,11,2015
0,0,3,0,0,0,Advertising,0,0,10,1,autumn,11,2015
0,0,5,0,0,0,"Movies, TV and recreation",0,0,13,0,autumn,11,2015
0,0,7,0,0,0,Literature/screenwriting/writing,0,1,14,1,autumn,11,2015
0,0,10,20,0,0,Real property,2,3,1218,51,autumn,11,2015
0,0,5,0,0,0,Property management,0,1,255,12,autumn,11,2015
0,0,10,4,0,0,Restaurants & recreation,6,10,1125,121,autumn,11,2015
0,0,5,4,0,0,Hotels/tourism,3,2,303,11,autumn,11,2015
0,0,0,0,0,0,Beauty and personal care,0,0,118,13,autumn,11,2015
0,0,1,0,0,0,General merchandise/chains/retail,0,0,23,3,autumn,11,2015
0,0,2,3,0,0,Security/housekeeping/other,0,0,51,5,autumn,11,2015
2,0,56,0,0,0,Graduates,2,4,1317,57,autumn,11,2015
0,0,49,0,0,0,Other,10,2,311,43,autumn,11,2015
5,0,11,0,0,0,Computer software,0,0,235,9,winter,12,2015
4,0,126,0,0,0,Sales management,16,7,1528,146,winter,12,2015
4,0,54,1,0,0,market/marketing,12,10,757,66,winter,12,2015
7,0,159,2,0,0,Sales,71,161,5842,187,winter,12,2015
2,0,2,0,0,0,Computer hardware,0,0,18,3,winter,12,2015
0,0,11,0,0,0,Internet development and application,0,0,106,29,winter,12,2015
0,0,1,0,0,0,IT-Management,0,0,72,1,winter,12,2015
1,0,5,0,0,0,"IT-QM, technical support and more",2,0,81,5,winter,12,2015
2,0,0,0,0,0,Communications technology,0,1,26,2,winter,12,2015
2,0,0,0,0,2,Electronics/appliances/semiconductor/instrumentation,1,0,42,3,winter,12,2015
9,0,47,0,0,0,Finance/auditing/tax,6,3,168,27,winter,12,2015
13,0,39,0,0,0,Engineering/machinery/energy,0,0,198,10,winter,12,2015
7,0,26,0,0,0,HR,3,0,105,19,winter,12,2015
0,0,9,0,0,0,Senior management,0,0,23,4,winter,12,2015
0,0,16,4,0,0,Logistics/warehousing,11,6,256,43,winter,12,2015
0,0,14,0,0,0,Art/graphics/Animation design,0,0,82,25,winter,12,2015
0,0,0,0,0,0,Science & Technology,0,0,6,1,winter,12,2015
0,0,4,0,0,0,Legal profession/law,0,0,16,1,winter,12,2015
7,0,3,0,0,0,Education,0,0,89,4,winter,12,2015
0,0,9,0,0,0,Hospital/medical/care,0,0,71,2,winter,12,2015
4,0,38,0,0,0,Counsel/consulting,12,0,645,17,winter,12,2015
0,0,0,4,0,0,Transportation service,1,0,48,13,winter,12,2015
0,0,4,0,0,0,Translation,0,0,4,0,winter,12,2015
3,0,23,0,0,0,Construction/infrastructure/gardening,1,0,164,9,winter,12,2015
0,0,1,0,0,0,Banking,0,0,5,0,winter,12,2015
3,0,80,5,0,0,Office administration/logistics,2,11,454,76,winter,12,2015
1,0,20,0,0,0,Customer service and technical support,6,0,362,27,winter,12,2015
1,0,11,0,0,0,Securities/finance/investment,6,0,424,13,winter,12,2015
0,0,4,1,0,0,Insurance,0,0,140,2,winter,12,2015
0,0,2,0,0,0,Production/operation,2,3,219,6,winter,12,2015
2,0,18,0,0,0,QMS/safety/environmental protection,0,0,48,5,winter,12,2015
1,0,2,2,0,0,Technical work,0,2,591,55,winter,12,2015
0,0,0,0,0,0,Fashion/textile/furs,0,0,4,2,winter,12,2015
1,0,4,0,0,0,Procurement,0,1,11,1,winter,12,2015
1,0,4,0,0,0,Trade,0,0,9,1,winter,12,2015
4,0,3,0,0,0,Biology/chemicals/pharmaceuticals/medical equipment,1,0,42,4,winter,12,2015
0,0,4,0,0,0,Advertising,0,0,16,0,winter,12,2015
0,0,3,0,0,0,"Movies, TV and recreation",0,0,5,1,winter,12,2015
0,0,6,0,0,0,Literature/screenwriting/writing,0,0,25,4,winter,12,2015
0,0,9,0,0,0,Real property,0,6,695,30,winter,12,2015
0,0,3,0,0,0,Property management,2,1,74,7,winter,12,2015
0,0,6,6,0,0,Restaurants & recreation,12,7,781,79,winter,12,2015
0,0,1,0,0,0,Hotels/tourism,0,0,79,9,winter,12,2015
0,0,0,0,0,0,Beauty and personal care,0,0,8,2,winter,12,2015
0,0,3,3,0,0,General merchandise/chains/retail,2,2,182,8,winter,12,2015
0,0,0,0,0,0,Security/housekeeping/other,1,0,60,7,winter,12,2015
4,0,18,0,0,0,Graduates,2,0,512,30,winter,12,2015
0,0,36,0,0,0,Other,9,3,439,48,winter,12,2015
2,0,3,0,0,0,Computer software,0,2,35,4,winter,1,2016
2,0,24,0,0,0,Sales management,3,2,277,12,winter,1,2016
2,0,21,0,0,0,market/marketing,6,0,332,28,winter,1,2016
1,0,46,0,0,0,Sales,17,4,1015,48,winter,1,2016
0,0,0,0,0,0,Computer hardware,0,0,1,1,winter,1,2016
0,0,4,0,0,0,Internet development and application,0,1,59,9,winter,1,2016
0,0,2,0,0,0,"IT-QM, technical support and more",2,0,50,0,winter,1,2016
4,0,5,0,0,0,Electronics/appliances/semiconductor/instrumentation,0,0,19,0,winter,1,2016
6,0,20,0,0,0,Finance/auditing/tax,0,0,54,8,winter,1,2016
6,0,22,0,0,0,Engineering/machinery/energy,0,3,105,3,winter,1,2016
8,0,5,0,0,0,HR,0,0,18,0,winter,1,2016
0,0,2,0,0,0,Senior management,0,0,24,4,winter,1,2016
1,0,7,0,0,0,Logistics/warehousing,1,0,40,11,winter,1,2016
0,0,4,0,0,0,Art/graphics/Animation design,1,0,30,6,winter,1,2016
0,0,6,0,0,0,Legal profession/law,0,0,18,0,winter,1,2016
0,0,1,0,0,0,Hospital/medical/care,0,0,6,0,winter,1,2016
0,0,5,0,0,0,Counsel/consulting,0,0,95,10,winter,1,2016
0,0,0,0,0,0,Transportation service,0,0,8,5,winter,1,2016
1,0,0,0,0,0,Translation,0,0,1,0,winter,1,2016
2,0,11,0,0,0,Construction/infrastructure/gardening,0,2,82,5,winter,1,2016
6,0,31,0,0,0,Office administration/logistics,2,0,122,11,winter,1,2016
0,0,12,0,0,0,Customer service and technical support,0,0,105,5,winter,1,2016
2,0,2,0,0,0,Production/operation,1,0,151,3,winter,1,2016
2,0,13,0,0,0,QMS/safety/environmental protection,0,1,38,3,winter,1,2016
0,0,3,7,0,0,Technical work,0,8,483,37,winter,1,2016
1,0,2,0,0,0,Procurement,0,0,4,0,winter,1,2016
0,0,2,0,0,0,Trade,0,0,4,0,winter,1,2016
0,0,0,0,0,0,Biology/chemicals/pharmaceuticals/medical equipment,0,0,6,4,winter,1,2016
0,0,3,0,0,0,Advertising,0,0,10,0,winter,1,2016
0,0,3,0,0,0,Real property,0,1,67,0,winter,1,2016
0,0,0,0,0,0,Property management,0,0,3,3,winter,1,2016
0,0,0,0,0,0,Restaurants & recreation,0,0,11,2,winter,1,2016
0,0,6,3,0,0,Hotels/tourism,0,6,63,0,winter,1,2016
0,0,0,1,0,0,Beauty and personal care,1,0,30,0,winter,1,2016
0,0,1,0,0,0,General merchandise/chains/retail,0,0,32,2,winter,1,2016
0,0,1,0,0,0,Security/housekeeping/other,0,0,2,1,winter,1,2016
0,0,11,0,0,0,Graduates,0,0,105,0,winter,1,2016
1,0,14,0,0,0,Other,3,5,256,30,winter,1,2016
7,0,21,0,0,0,Computer software,0,0,335,37,winter,2,2016
37,0,470,8,0,0,Sales management,54,42,6102,352,winter,2,2016
53,0,322,4,0,0,market/marketing,95,54,8092,354,winter,2,2016
20,0,569,27,0,0,Sales,202,54,14857,558,winter,2,2016
0,0,4,0,0,0,Computer hardware,0,0,77,12,winter,2,2016
17,0,68,0,0,0,Internet development and application,0,8,384,47,winter,2,2016
1,0,7,0,0,0,IT-Management,0,0,21,0,winter,2,2016
6,0,20,0,0,0,"IT-QM, technical support and more",0,1,100,5,winter,2,2016
0,0,0,0,0,0,Communications technology,2,0,32,4,winter,2,2016
20,0,28,0,0,2,Electronics/appliances/semiconductor/instrumentation,6,12,225,3,winter,2,2016
29,0,270,5,0,0,Finance/auditing/tax,2,5,920,148,winter,2,2016
48,0,92,2,0,0,Engineering/machinery/energy,4,14,2323,54,winter,2,2016
28,0,216,4,0,0,HR,15,5,879,113,winter,2,2016
5,0,14,0,0,0,Senior management,0,0,35,3,winter,2,2016
5,0,93,10,0,0,Logistics/warehousing,47,24,1994,161,winter,2,2016
29,0,124,0,0,0,Art/graphics/Animation design,0,2,886,88,winter,2,2016
2,0,0,0,0,0,Science & Technology,0,0,6,0,winter,2,2016
5,0,4,0,0,0,Legal profession/law,0,0,23,2,winter,2,2016
78,0,36,0,0,10,Education,0,6,776,38,winter,2,2016
1,0,20,0,0,0,Hospital/medical/care,0,0,133,5,winter,2,2016
2,0,79,0,0,0,Counsel/consulting,0,10,765,52,winter,2,2016
0,0,1,4,0,0,Transportation service,15,2,264,66,winter,2,2016
2,0,70,0,0,0,Construction/infrastructure/gardening,7,5,844,107,winter,2,2016
0,0,3,0,0,0,Banking,0,6,31,0,winter,2,2016
33,0,466,0,0,0,Office administration/logistics,49,31,2020,242,winter,2,2016
17,0,174,0,0,0,Customer service and technical support,27,11,2790,150,winter,2,2016
9,0,33,0,0,0,Securities/finance/investment,1,0,4304,74,winter,2,2016
1,0,8,0,0,0,Insurance,0,0,786,15,winter,2,2016
19,0,84,4,0,0,Production/operation,3,11,2581,107,winter,2,2016
24,0,45,16,0,0,QMS/safety/environmental protection,7,17,3136,27,winter,2,2016
4,0,15,70,0,0,Technical work,46,46,5714,263,winter,2,2016
9,0,69,0,0,0,Procurement,0,19,250,9,winter,2,2016
5,0,20,0,0,0,Trade,0,0,107,8,winter,2,2016
1,0,10,0,0,0,Biology/chemicals/pharmaceuticals/medical equipment,0,0,72,20,winter,2,2016
1,0,34,0,0,0,Advertising,0,0,70,5,winter,2,2016
0,0,4,0,0,0,PRs and news media,0,0,24,0,winter,2,2016
0,0,13,0,0,0,"Movies, TV and recreation",0,0,43,1,winter,2,2016
3,0,7,0,0,0,Literature/screenwriting/writing,0,1,29,8,winter,2,2016
4,0,30,32,0,0,Real property,30,23,2633,47,winter,2,2016
3,0,18,0,0,0,Property management,0,6,254,19,winter,2,2016
0,0,7,8,0,0,Restaurants & recreation,27,4,1634,129,winter,2,2016
0,0,28,0,0,0,Hotels/tourism,1,0,231,10,winter,2,2016
0,0,8,19,0,0,Beauty and personal care,15,10,1182,29,winter,2,2016
2,0,25,8,0,0,General merchandise/chains/retail,8,30,779,13,winter,2,2016
0,0,7,0,0,0,Security/housekeeping/other,4,0,434,29,winter,2,2016
1,0,66,0,0,0,Graduates,9,0,849,24,winter,2,2016
29,0,138,0,0,0,Other,32,14,1112,117,winter,2,2016
18,0,27,0,0,0,Computer software,3,2,553,34,spring,3,2016
46,0,789,8,0,0,Sales management,128,66,12079,602,spring,3,2016
43,0,575,12,0,0,market/marketing,118,46,8168,443,spring,3,2016
23,0,712,28,0,0,Sales,429,120,25855,897,spring,3,2016
14,0,18,0,0,0,Computer hardware,0,2,131,8,spring,3,2016
15,0,82,0,0,0,Internet development and application,3,3,416,64,spring,3,2016
0,0,4,0,0,0,IT-Management,0,0,15,2,spring,3,2016
6,0,37,0,0,0,"IT-QM, technical support and more",2,0,199,7,spring,3,2016
1,0,5,0,0,0,Communications technology,22,0,289,8,spring,3,2016
19,0,26,0,0,0,Electronics/appliances/semiconductor/instrumentation,0,14,247,21,spring,3,2016
53,0,336,0,0,0,Finance/auditing/tax,6,13,1032,126,spring,3,2016
52,0,101,4,0,0,Engineering/machinery/energy,1,13,3097,29,spring,3,2016
90,0,312,4,0,0,HR,6,17,1464,128,spring,3,2016
14,0,18,0,0,0,Senior management,0,0,72,12,spring,3,2016
3,0,113,20,0,0,Logistics/warehousing,47,26,2412,119,spring,3,2016
15,0,134,0,0,0,Art/graphics/Animation design,3,9,881,99,spring,3,2016
6,2,0,0,0,0,Science & Technology,0,0,58,3,spring,3,2016
11,0,0,0,0,0,Legal profession/law,0,0,21,1,spring,3,2016
75,0,78,0,0,2,Education,2,0,839,37,spring,3,2016
2,0,39,0,0,0,Hospital/medical/care,0,3,377,23,spring,3,2016
12,0,129,0,0,0,Counsel/consulting,5,7,1221,55,spring,3,2016
0,0,3,21,0,0,Transportation service,13,0,448,64,spring,3,2016
0,0,18,0,0,0,Translation,0,0,65,1,spring,3,2016
2,0,90,0,0,0,Construction/infrastructure/gardening,4,7,721,69,spring,3,2016
0,0,6,0,0,0,Banking,0,0,50,0,spring,3,2016
54,0,716,2,0,0,Office administration/logistics,46,79,3275,339,spring,3,2016
17,0,241,1,0,0,Customer service and technical support,40,30,4039,223,spring,3,2016
17,0,41,0,0,0,Securities/finance/investment,13,0,1711,57,spring,3,2016
20,0,30,0,0,0,Insurance,11,0,600,16,spring,3,2016
24,0,71,6,0,0,Production/operation,12,5,1252,35,spring,3,2016
18,0,64,28,0,0,QMS/safety/environmental protection,8,28,4835,17,spring,3,2016
1,0,8,120,0,0,Technical work,39,14,5988,188,spring,3,2016
4,0,52,0,0,0,Procurement,0,8,151,11,spring,3,2016
10,0,7,0,0,0,Trade,0,0,57,9,spring,3,2016
10,0,24,4,0,2,Biology/chemicals/pharmaceuticals/medical equipment,2,0,204,23,spring,3,2016
2,0,13,0,0,0,Advertising,0,0,76,10,spring,3,2016
1,0,1,0,0,0,PRs and news media,0,0,39,12,spring,3,2016
2,0,18,0,0,0,"Movies, TV and recreation",2,0,342,27,spring,3,2016
3,0,23,0,0,0,Literature/screenwriting/writing,3,0,102,24,spring,3,2016
8,0,44,20,0,0,Real property,27,17,3176,104,spring,3,2016
2,0,16,6,0,0,Property management,3,3,303,32,spring,3,2016
0,0,26,3,0,0,Restaurants & recreation,11,4,1381,141,spring,3,2016
0,0,7,1,0,0,Hotels/tourism,0,0,141,27,spring,3,2016
0,0,5,22,0,0,Beauty and personal care,22,14,1113,17,spring,3,2016
5,0,31,6,0,0,General merchandise/chains/retail,15,8,693,36,spring,3,2016
0,0,5,4,0,0,Security/housekeeping/other,3,0,270,30,spring,3,2016
5,0,123,3,0,0,Graduates,4,6,1605,64,spring,3,2016
16,0,145,0,0,0,Other,16,11,1380,167,spring,3,2016
0,0,1,0,0,0,,0,0,5,0,spring,4,2016
11,0,12,0,0,0,Computer software,0,0,404,30,spring,4,2016
19,0,427,3,0,0,Sales management,82,41,5246,230,spring,4,2016
9,0,269,1,0,0,market/marketing,64,18,4067,214,spring,4,2016
7,0,415,8,0,0,Sales,290,75,13743,363,spring,4,2016
0,0,4,0,0,0,Computer hardware,0,0,54,2,spring,4,2016
1,0,49,0,0,0,Internet development and application,0,0,302,43,spring,4,2016
1,0,7,0,0,0,IT-Management,0,0,30,4,spring,4,2016
0,0,26,0,0,0,"IT-QM, technical support and more",0,0,90,1,spring,4,2016
0,0,4,0,0,0,Communications technology,6,0,75,2,spring,4,2016
13,0,5,0,0,2,Electronics/appliances/semiconductor/instrumentation,3,2,95,5,spring,4,2016
17,0,129,0,0,0,Finance/auditing/tax,1,6,347,38,spring,4,2016
22,0,16,0,0,0,Engineering/machinery/energy,6,1,232,12,spring,4,2016
46,0,194,1,0,0,HR,5,5,845,29,spring,4,2016
1,0,2,0,0,0,Senior management,0,0,4,0,spring,4,2016
1,0,55,6,0,0,Logistics/warehousing,23,10,429,44,spring,4,2016
9,0,87,0,0,0,Art/graphics/Animation design,0,18,438,31,spring,4,2016
4,0,0,0,0,2,Science & Technology,0,0,37,0,spring,4,2016
2,0,0,0,0,0,Legal profession/law,0,0,10,8,spring,4,2016
41,0,48,0,0,4,Education,2,0,619,11,spring,4,2016
0,0,16,0,0,0,Hospital/medical/care,2,4,124,2,spring,4,2016
10,0,97,0,0,0,Counsel/consulting,5,1,1058,24,spring,4,2016
0,0,0,25,0,0,Transportation service,7,0,326,25,spring,4,2016
0,0,2,0,0,0,Translation,0,0,2,0,spring,4,2016
3,0,54,0,0,0,Construction/infrastructure/gardening,4,3,413,20,spring,4,2016
0,0,10,0,0,0,Banking,0,0,10,0,spring,4,2016
39,0,300,0,0,0,Office administration/logistics,22,28,1443,143,spring,4,2016
4,0,155,1,0,0,Customer service and technical support,13,21,1525,43,spring,4,2016
7,0,27,0,0,0,Securities/finance/investment,3,12,1074,33,spring,4,2016
5,0,16,0,0,0,Insurance,2,0,568,19,spring,4,2016
2,0,15,4,0,0,Production/operation,1,2,141,12,spring,4,2016
5,0,29,0,0,0,QMS/safety/environmental protection,7,1,110,5,spring,4,2016
0,0,10,44,0,0,Technical work,18,5,3326,70,spring,4,2016
1,0,21,0,0,0,Procurement,0,2,53,8,spring,4,2016
5,0,5,0,0,0,Trade,0,0,44,2,spring,4,2016
4,0,22,0,0,0,Biology/chemicals/pharmaceuticals/medical equipment,0,0,117,23,spring,4,2016
2,0,5,0,0,0,Advertising,0,0,23,7,spring,4,2016
1,0,9,0,0,0,PRs and news media,0,0,99,2,spring,4,2016
0,0,0,0,0,0,"Movies, TV and recreation",0,0,2,2,spring,4,2016
2,0,1,0,0,0,Literature/screenwriting/writing,0,0,22,4,spring,4,2016
0,0,6,0,0,0,Real property,0,6,631,43,spring,4,2016
0,0,6,1,0,0,Property management,0,2,222,20,spring,4,2016
0,0,15,0,0,0,Restaurants & recreation,0,0,863,65,spring,4,2016
0,0,2,0,0,0,Hotels/tourism,0,0,150,13,spring,4,2016
0,0,5,0,0,0,Beauty and personal care,4,0,132,20,spring,4,2016
2,0,11,0,0,0,General merchandise/chains/retail,6,7,462,20,spring,4,2016
0,0,1,0,0,0,Security/housekeeping/other,2,0,67,11,spring,4,2016
4,0,61,0,0,0,Graduates,0,0,691,22,spring,4,2016
9,0,96,2,0,0,Other,17,2,705,81,spring,4,2016
1,0,0,0,0,0,,0,0,3,0,spring,5,2016
14,0,2,0,0,0,Computer software,0,0,318,26,spring,5,2016
13,0,314,3,0,0,Sales management,62,9,3694,185,spring,5,2016
10,0,205,1,0,0,market/marketing,48,7,3296,181,spring,5,2016
20,0,389,7,0,0,Sales,204,52,10040,322,spring,5,2016
0,0,3,0,0,0,Computer hardware,0,0,19,3,spring,5,2016
2,0,24,0,0,0,Internet development and application,0,0,209,43,spring,5,2016
0,0,6,0,0,0,IT-Management,0,0,16,0,spring,5,2016
